M,P,horizon_hours,max_k,total_return,profit_factor,max_drawdown,n_trades,turnover,total_trade_cost,total_funding,n_bars,sharpe
336,0.98,24,5,-0.9999198889897112,0.9196726252347656,0.9999296191366982,57356,14973.866666666667,14.973866666666668,-0.8084411386666668,33390,-2.128590366582536
336,0.98,24,10,-0.999847316372645,0.9240288088094288,0.9998675688988753,81498,14461.840476190477,14.461840476190476,-0.7631282320952382,33390,-2.0188261711636946
336,0.98,72,3,-0.9999543868857459,0.9186419311613204,0.9999620726859059,39697,15255.666666666666,15.255666666666666,-0.88317302,33390,-2.1385937244365216
336,0.98,72,5,-0.9998843638352521,0.9231952657588095,0.9999041075521389,56934,14676.133333333331,14.676133333333333,-0.8047877426666666,33390,-2.034614203985189
336,0.98,72,10,-0.9998108127341993,0.9259555666814507,0.9998451120018966,81197,14158.569841269842,14.158569841269841,-0.7580390601865079,33390,-1.9693926722028519
336,0.98,168,3,-0.9999576893976173,0.9179335527174336,0.9999648187252215,39670,15246.0,15.246,-0.8833589316666667,33390,-2.1570572224516353
336,0.98,168,5,-0.9998860890038634,0.9230062373790398,0.9999055381654895,56927,14667.066666666666,14.667066666666669,-0.8052152315000001,33390,-2.039397050212496
336,0.98,168,10,-0.9998172261165796,0.9255366000359687,0.9998503626510551,81139,14147.995238095238,14.14799523809524,-0.7582790300753969,33390,-1.9807420676541156
336,0.99,24,3,-0.9862565930645255,0.973623631158056,0.9966954775698413,27948,11852.0,11.852,-0.8901245416666665,33390,-0.6299705587520615
336,0.99,24,5,-0.9910610214826652,0.9670454965695146,0.9971434868180487,37839,11571.300000000001,11.5713,-0.8260736818333334,33390,-0.7926220805027898
336,0.99,24,10,-0.9860572196001678,0.970882148886119,0.996201246568585,51664,11373.426190476192,11.373426190476192,-0.7945514181309523,33390,-0.702866964941034
336,0.99,72,3,-0.9924703986744122,0.9674494323068863,0.9981127578254327,27346,11474.666666666666,11.474666666666668,-0.8873241166666666,33390,-0.788519485669534
336,0.99,72,5,-0.9931846892673956,0.9642363409266126,0.9982024284536608,37487,11229.633333333333,11.229633333333332,-0.8239511238333334,33390,-0.8710708461063507
