M,bucket,horizon_hours,count,mean,median,std,t_stat
168,"(99,99.5%]",8,5542,-0.0003184812948855831,-0.0014117114959468213,0.03693715679028495,-0.641879828877807
168,"(99.5,99.8%]",8,48,0.007453364422898484,0.0033964045508305674,0.02880361114175585,1.7927760244022646
168,"(99.8,100%]",8,6155,0.00012408440059830003,-0.0009504197687312255,0.03997945694281322,0.2434973982363899
168,"(.5,1%]",24,5806,0.010200381455200278,0.005524439310876317,0.08427321705030823,9.222854468034955
168,"(1,2%]",24,10444,0.006045410874861251,0.003953537534989948,0.07731135956578357,7.9912725662432305
168,"(2,5%]",24,24709,0.00542461139155849,0.003729024238657397,0.06922937088832738,12.317025237423266
168,"(25,75%]",24,373188,0.002114476408091149,0.0005343593276084802,0.06413128781079723,20.14172759687588
168,"(5,25%]",24,158642,0.004030237307265809,0.0022188528561093435,0.06579714589034442,24.396787960637365
168,"(75,95%]",24,160835,0.0010868353160400877,-0.0010779088568176887,0.058667918409778794,7.4293932088235515
168,"(95,98%]",24,23175,0.0014112124008101839,-0.0025566729163115642,0.06827749646682466,3.1464777647702085
168,"(98,99%]",24,9708,0.0014112869910854445,-0.003252349778621877,0.07630912427324592,1.822232350740601
168,"(99,99.5%]",24,5532,0.00016369084951821773,-0.004271847436732923,0.08291178380175668,0.14684164107716077
168,"(99.5,99.8%]",24,48,0.009339695943054808,0.005750542937536185,0.03769801167667125,1.7164648405715883
168,"(99.8,100%]",24,6144,0.002974684787966964,-0.0031644350489727913,0.09099108449112008,2.562522661867805
168,"(.5,1%]",72,5785,0.011631104188686854,0.004803102625298372,0.11916854053496746,7.423539216863683
168,"(1,2%]",72,10410,0.010322601651127113,0.00399541023972505,0.13171335084152122,7.996220002429732
168,"(2,5%]",72,24613,0.010728033463495419,0.0038097578960305523,0.12947569785529012,12.999125446759328
168,"(25,75%]",72,372359,0.006516850289481133,-0.000481463649494418,0.1149489582118693,34.59502367875931
168,"(5,25%]",72,158130,0.009405148254119068,0.0026548232602295885,0.11150141433205489,33.54226648875682
