M,P,exit_mode,horizon_hours,max_k,total_return,profit_factor,max_drawdown,n_trades,turnover,total_trade_cost,total_funding,n_bars,sharpe
168,0.995,median,72,10,-0.9917088419542889,0.9110526046880003,0.9920051607474033,18232,5286.671428571429,5.286671428571429,-0.42540487386111114,33390,-1.651843725599722
168,0.995,median,168,3,-0.9881181989538358,0.9181099084806064,0.988391386995251,9131,4919.333333333334,4.919333333333333,-0.3931852533333333,33390,-1.4988127100255115
168,0.995,median,168,5,-0.9901687529087259,0.9149511842560192,0.9905134714716822,12730,5157.033333333333,5.157033333333333,-0.41436175650000007,33390,-1.5788532124089432
168,0.995,median,168,10,-0.9927974999079787,0.9085788259544992,0.9930549110106146,18231,5285.471428571429,5.285471428571428,-0.4260243655277778,33390,-1.704522130549812
168,0.995,horizon,24,3,-0.9944475284327566,0.9587712037490215,0.9961337801919748,6788,2548.0,2.548,-0.5581068533333333,33390,-1.0100800792445503
168,0.995,horizon,24,5,-0.9944980931617317,0.9566639626661358,0.9962688798552193,12308,2721.5666666666666,2.7215666666666665,-0.562864282,33390,-1.089069143723173
168,0.995,horizon,24,10,-0.9970440317363948,0.9486965606945945,0.9979551146359237,22571,2845.895238095238,2.8458952380952383,-0.5661893014047619,33390,-1.2991115867424885
168,0.995,horizon,72,3,-0.9921758347478523,0.970886768248644,0.9954488050737882,3304,1043.0,1.0430000000000001,-0.5842776999999999,33390,-0.7867586995303927
168,0.995,horizon,72,5,-0.9939061384855935,0.9662051424351428,0.9962569106523828,7420,1127.9666666666667,1.1279666666666666,-0.5699377746666667,33390,-0.9329668884438567
168,0.995,horizon,72,10,-0.9894532026984917,0.9699571440837237,0.9941074465226293,19873,1218.2333333333333,1.2182333333333333,-0.5823291732500001,33390,-0.8352368168320149
168,0.995,horizon,168,3,-0.9935694044927662,0.9705160385316527,0.9979519947890363,1641,469.00000000000006,0.469,-0.6220871733333333,33390,-0.8346786747662108
168,0.995,horizon,168,5,-0.9915871509829566,0.9707509164763048,0.9969450862778813,4105,491.20000000000005,0.49119999999999997,-0.5941503611666666,33390,-0.8347524347207407
168,0.995,horizon,168,10,-0.9952224229320428,0.9641435718323007,0.9971598590840413,13122,528.8333333333333,0.5288333333333333,-0.6070857363928571,33390,-1.0303764315233626
168,0.998,median,24,3,-0.9794533233695635,0.9275313419419056,0.9797724488549798,9047,4974.666666666667,4.974666666666667,-0.3910836183333334,33390,-1.2906063635328942
168,0.998,median,24,5,-0.9873378249583599,0.9173182932724041,0.9876321095140094,12569,5202.1,5.2021,-0.411168242,33390,-1.497909441724434
168,0.998,median,24,10,-0.9920141142381567,0.9076459116713462,0.9922051771751016,17839,5332.95873015873,5.3329587301587305,-0.42391646765079366,33390,-1.68460398506755
168,0.998,median,72,3,-0.9840698048181139,0.9239321651614115,0.984436074107104,9029,4875.0,4.875,-0.3946472683333333,33390,-1.3834823174135669
168,0.998,median,72,5,-0.9868848606217169,0.9204508234648839,0.9872867506885997,12590,5111.1,5.1111,-0.416023252,33390,-1.466754476013406
168,0.998,median,72,10,-0.9904517134066795,0.9138944339460928,0.9907507836949888,18104,5239.062698412699,5.239062698412699,-0.42760091788888893,33390,-1.5953408519516268
168,0.998,median,168,3,-0.9867259092189566,0.9204496834437504,0.9870311089818504,9040,4873.0,4.873,-0.39511327,33390,-1.4538972041534994
168,0.998,median,168,5,-0.9887749253930903,0.9176224668556612,0.9891188977943296,12611,5109.4333333333325,5.1094333333333335,-0.4165987713333334,33390,-1.525908681879038
168,0.998,median,168,10,-0.9917054367209164,0.9113955829633441,0.9919652380378365,18103,5237.862698412699,5.237862698412699,-0.42822040955555557,33390,-1.6481790575917228
168,0.998,horizon,24,3,-0.9954298050529115,0.9567196539372237,0.9968177453919421,6760,2540.0000000000005,2.54,-0.559482855,33390,-1.0591257851146385
168,0.998,horizon,24,5,-0.9948204205024507,0.9559800864839169,0.9965362375515237,12221,2717.3333333333335,2.7173333333333334,-0.5642709113333333,33390,-1.106785070770593
168,0.998,horizon,24,10,-0.9972355226136824,0.947965477964084,0.9981090910777868,22245,2843.1468253968255,2.8431468253968255,-0.5672982338968253,33390,-1.3183797105124988
168,0.998,horizon,72,3,-0.9917237869263319,0.971190659931783,0.9950634119667182,3337,1051.0,1.0510000000000002,-0.5901680349999999,33390,-0.7806360223534099
168,0.998,horizon,72,5,-0.9939887452612226,0.965926177314162,0.9962098355661042,7490,1134.6,1.1346,-0.5725549784999999,33390,-0.9403765236248119
168,0.998,horizon,72,10,-0.9904489382515383,0.9690049282180367,0.994585455007504,19768,1223.0087301587303,1.22300873015873,-0.5841434426904762,33390,-0.8624050496855798
168,0.998,horizon,168,3,-0.99472336014114,0.9688277113110028,0.9979519947890363,1639,467.66666666666674,0.4676666666666667,-0.6244245283333334,33390,-0.8840155736717532
168,0.998,horizon,168,5,-0.991897802646936,0.970482778822208,0.9969450862778813,4060,490.23333333333335,0.4902333333333333,-0.6174299526666667,33390,-0.8444638280594009
168,0.998,horizon,168,10,-0.9943972149733945,0.9656226458072356,0.996779335578042,13190,530.4579365079364,0.5304579365079365,-0.6087921425436509,33390,-0.9884751826146922
336,0.95,median,24,3,-0.997991998223711,0.953833028228232,0.998678171133033,38029,13461.666666666668,13.461666666666666,-0.87240718,33390,-1.2197520495529877
