window,cost,total_return,profit_factor,max_drawdown,n_trades,turnover,total_trade_cost,total_funding,n_bars,sharpe
W1_train,baseline,0.9291454814292401,1.0237483326567327,0.876622489080761,2288,607.0,0.6070000000000001,-0.4804366116666667,33390,0.6369387101644537
W1_train,stress,0.4239120867493127,1.020344530986965,0.8853600436937975,2288,607.0,0.9105000000000001,-0.4804366116666667,33390,0.5466313923826032
W1_train,long_leg,4.479069834429198,1.0446052607845364,0.752015245440265,1308,342.33333333333337,0.3423333333333334,-0.012660403333333306,33390,0.9736953603199616
W1_train,short_leg,-0.7143903677300876,0.9875461034673061,0.87890716400656,981,264.6666666666667,0.2646666666666667,-0.46777620833333333,33390,-0.27800644212360687
W2_train,baseline,0.5380685108038354,1.0192915371441291,0.876622489080761,2765,736.6666666666666,0.7366666666666667,-0.5959422333333333,42174,0.5270161021833937
W2_train,stress,0.06388517476489564,1.0159306636862535,0.8853600436937977,2765,736.6666666666666,1.1050000000000002,-0.5959422333333333,42174,0.4359959437162458
W2_train,long_leg,5.8586563013984145,1.0414118285021647,0.752015245440265,1607,421.0,0.42100000000000004,-0.030063896666666645,42174,0.921528445607798
W2_train,short_leg,-0.8258044335151834,0.9838563999530759,0.87890716400656,1162,315.6666666666667,0.3156666666666667,-0.5658783366666666,42174,-0.3642188456255849
W3_train,baseline,-0.6139264038864907,1.0080465936346903,0.9069416082502838,3234,868.3333333333334,0.8683333333333334,-0.70317137,50934,0.22477607031098207
W3_train,stress,-0.7499660838784723,1.0048517215573458,0.9311794002132611,3234,868.3333333333334,1.3025000000000002,-0.70317137,50934,0.1357657247261217
W3_train,long_leg,2.578043144663734,1.0285181705621285,0.7520152454402651,1901,503.33333333333337,0.5033333333333334,-0.11316263666666665,50934,0.664945089414492
W3_train,short_leg,-0.9214354068136589,0.9777222905256934,0.9407536600507738,1337,365.0,0.365,-0.5900087333333334,50934,-0.5059122824765582
