lookback_days,vol_norm,bucket,horizon_hours,count,mean,median,std,t_stat
7,False,0.0,1,59536,0.0001074920290968,0.0001242333522118,0.0136412472337001,1.9227021290873387
7,False,1.0,1,82027,8.906039661745762e-05,0.0001469435736676,0.0123280201131701,2.069043896707428
7,False,2.0,1,76654,9.503011515116172e-05,0.0001684982423625,0.011613624896838,2.2654833350876915
7,False,3.0,1,80107,8.045886702854279e-05,0.0001363512407961,0.011601595262816,1.962869542679731
7,False,4.0,1,81060,8.652115789340115e-05,0.0001009200696006,0.0116204880987097,2.1198310655909625
7,False,5.0,1,77480,8.628021509390816e-05,0.0001063823900344,0.0112316636282366,2.138267015376393
7,False,6.0,1,75341,0.0001111618550873,8.654262224139231e-05,0.0122537387704922,2.490020130984317
7,False,7.0,1,81421,5.056373323614679e-05,0.0,0.0121643703184908,1.1860901917588842
7,False,8.0,1,77261,5.53548720118191e-05,0.0,0.0137315109491706,1.120515028974914
7,False,9.0,1,89481,0.0003009933751204,-0.0001025124082727,0.0174780791753226,5.151440036747693
7,False,0.0,4,59527,0.0002120287937307,0.000296823983378,0.0261698226968194,1.9767468719493988
7,False,1.0,4,82015,0.0002385063447737,0.0003471017007983,0.0238391894463418,2.8652010152763454
7,False,2.0,4,76642,0.0003362942974799,0.0004164940128986,0.0226207925492972,4.115713172337864
7,False,3.0,4,80098,0.0003033678465176,0.0003374104204506,0.0226393181567317,3.792425359497989
7,False,4.0,4,81048,0.0003101691037806,0.0003276916021114,0.0226609635898007,3.896649232505341
7,False,5.0,4,77468,0.0003299936047143,0.0003018867993309,0.0219179978201071,4.190499718900385
7,False,6.0,4,75332,0.00037432913909,0.0001990074475974,0.0232315878598725,4.422465868467473
7,False,7.0,4,81409,0.0002778203954999,8.747917813312078e-05,0.0236909857663799,3.3459327163605126
7,False,8.0,4,77249,0.0003805819143883,-0.0001295840352469,0.0264184855225413,4.003931712968339
7,False,9.0,4,89469,0.0012075701339034,-0.0004048438374434,0.0340289536886904,10.614512656124072
7,False,0.0,8,59515,0.0002384079370091,8.721817626788919e-05,0.0358107710402127,1.6241280117128272
7,False,1.0,8,81999,0.0004408410886992,0.0003579945026606,0.0328616426512054,3.8414667246646457
7,False,2.0,8,76626,0.0006174853193334,0.000502498647556,0.0317523237008518,5.383183709168361
7,False,3.0,8,80086,0.0005916822576337,0.0004392467038408,0.0313633970420128,5.338801231628411
7,False,4.0,8,81032,0.0006742836218199,0.0003452939454678,0.0317854088790413,6.038694896030355
7,False,5.0,8,77452,0.0006531644346647,0.0004665096967703,0.0305927281296223,5.941835718803484
