form,x,exit_frac,m_events,k_max,filter,total_return,profit_factor,max_drawdown,n_trades,turnover,total_funding,sharpe,stress_total_return,eligible,phase
abs,3.0,0.5,1,5,trend72,-0.6005305267373775,1.004996727730178,0.9700820018570584,14682,4866.833333333334,-1.0424836923333332,0.1021584238884263,,False,preregistered
abs,3.0,0.5,1,10,none,-0.5556071155534296,1.0095528799685138,0.969115215597414,12085,2407.3626984126986,-1.552346438115079,0.2397970722426917,,False,preregistered
abs,3.0,0.5,1,10,trend72,-0.6442741516626711,1.002674570510304,0.9724114097752136,21405,4809.115873015873,-1.0226606374285714,0.054918749046073,,False,preregistered
abs,3.0,0.5,3,3,none,0.8113737986183118,1.027183565355098,0.9267289405510616,3692,1392.6666666666663,-1.734524695,0.6620120480246059,,False,preregistered
abs,3.0,0.5,3,3,trend72,-0.7025771597651236,1.0028651179771424,0.9684411832629116,9825,4197.333333333333,-1.067272973333333,0.0584262860586899,,False,preregistered
abs,3.0,0.5,3,5,none,0.5677470289647653,1.0245475452355823,0.8981589657577032,4949,1247.3333333333337,-1.6157027816666667,0.6018382042071694,,False,preregistered
abs,3.0,0.5,3,5,trend72,-0.6882771401793525,1.0028396900427294,0.96386764846039,13732,4146.266666666666,-1.0287075873333331,0.0577629343685876,,False,preregistered
abs,3.0,0.5,3,10,none,-0.1011400589139628,1.0178142422193055,0.9284652646857464,6789,1110.0857142857144,-1.5193203842380951,0.437997360766057,,False,preregistered
abs,3.0,0.5,3,10,trend72,-0.7686374796291581,0.997997363254842,0.9729138046357771,21128,4141.055555555556,-1.0036729423809525,-0.0408553754807433,,False,preregistered
abs,3.0,0.5,6,3,none,0.5563714863422142,1.0246635044058834,0.9245213423418124,2242,856.0,-1.6574225066666668,0.6097824678512218,,False,preregistered
abs,3.0,0.5,6,3,trend72,-0.8718006973600955,0.9896503270213332,0.9790888957836096,9253,3970.0,-1.019882055,-0.22267369366953,,False,preregistered
abs,3.0,0.5,6,5,none,0.5943196710889982,1.0239202284055422,0.8645147175091257,3139,783.2,-1.5425981193333334,0.596711098708545,,False,preregistered
abs,3.0,0.5,6,5,trend72,-0.8772581738937892,0.9876815468122428,0.9795058583544412,13040,3955.0,-0.9829617616666666,-0.2662504234034479,,False,preregistered
abs,3.0,0.5,6,10,none,-0.0374719314045075,1.0179721746758617,0.9058938020952072,4324,689.6690476190477,-1.4474208796944446,0.4465031588967669,,False,preregistered
abs,3.0,0.5,6,10,trend72,-0.8910009434397682,0.9858807930688306,0.981868544124608,20936,3951.401587301588,-0.9515622840436508,-0.3025783673540431,,False,preregistered
abs,3.0,1.0,1,3,none,-0.6439937737575054,1.010029506618039,0.9770415071248496,7501,3236.0,-1.7364233866666667,0.2366598810991358,,False,preregistered
