bucket,horizon_hours,count,mean,median,std,t_stat
-.25...25,1,1559524,1.4367733493325126e-05,0.0,0.005186730900262259,3.4593187327498964
-.75..-.25,1,31897,0.00014457642194077726,0.0004286326618088143,0.007934355106018472,3.254323766888188
-1.5..-.75,1,2310,0.001616330750407736,0.0010381136642158006,0.014764980056009538,5.261424716702115
.25..0.75,1,18755,8.071502858160461e-05,-0.0002129780373595347,0.007215591115088678,1.5319374178052496
.75..1.5,1,1066,-0.00010938801042962498,-0.000292168543976401,0.007668006501660931,-0.4657639307469626
i<-1.5,1,131,0.003984013014377114,0.0013948343033043376,0.015198779998268068,3.0001824594021884
i>1.5,1,60,-0.0013145056116690979,-0.0006299640394447636,0.00623699987621982,-1.6325343734257847
-.25...25,4,1559456,6.497005410412745e-05,0.0,0.01036549254477903,7.827261577361044
-.75..-.25,4,31897,0.0006195576074694127,0.0007038708806159644,0.012943675178520674,8.54867895330813
-1.5..-.75,4,2310,0.0017100454139795018,0.000987752030921163,0.017919809348813938,4.586487870383393
.25..0.75,4,18754,0.00010013647626023012,-0.00047323568028373453,0.012933448627298956,1.0602906172380857
.75..1.5,4,1066,-0.00013593191256239308,-0.0006747569861828007,0.011771745836031005,-0.37701545459366004
i<-1.5,4,131,0.005082839504728114,0.00337268128161905,0.01581943613699501,3.6774861427398355
i>1.5,4,60,0.0007474696464483177,-0.00022388076868595785,0.011233456225456294,0.5154134995300239
-.25...25,16,1559188,0.00030059395903358794,0.0,0.020701483735580086,18.131261288175477
-.75..-.25,16,31893,0.0007147765256654252,0.0007558578987150177,0.022496849263227058,5.6740906415852255
-1.5..-.75,16,2309,0.002763203672848931,0.0018238681552620317,0.0271888038048029,4.883540155450651
.25..0.75,16,18751,0.0003054719013932065,-0.0007117100018977363,0.02230121868441712,1.8756633335600348
.75..1.5,16,1066,-3.6679919287846556e-05,-0.0012778034713769038,0.021480563233410892,-0.055752110086921054
i<-1.5,16,131,0.0036828327155252276,0.004373423044575331,0.028191884154345977,1.4951802030626864
i>1.5,16,60,7.268110052212618e-05,0.00233578218287378,0.015191406796200322,0.03705946337723362
-.25...25,32,1558837,0.0006110822078135035,-0.00015825288811521787,0.02922174264631003,26.109218946431522
-.75..-.25,32,31889,0.0007091422588976182,0.0008084074373482242,0.03056767823692127,4.142775159218291
-1.5..-.75,32,2309,0.002623339432462182,0.0024616275702289414,0.0339101028223985,3.717383330657635
.25..0.75,32,18738,0.000973971117216189,-0.000384135502553562,0.02936677949532519,4.539953171542914
.75..1.5,32,1066,0.00029799934180568403,-0.0016388897882051445,0.028227105219973066,0.3446891118972173
i<-1.5,32,131,0.004885590814642833,0.003472222222222321,0.03533288433439388,1.5826090562941502
i>1.5,32,60,0.0030012143105747494,0.001254912092166327,0.02665110418333412,0.8722830366273575
