family,bucket,horizon_bars,count,t_stat,edge,edge_h1,edge_h2,direction,passes
breakout,break_up,4,67300,3.570963670861409,0.00013698548999701202,6.512884605056113e-05,0.00019062366705367326,1,False
breakout,break_down,4,66555,13.162942954425901,0.0006493232986704481,0.0009032365922222982,0.000519905116205811,-1,False
breakout,break_up,16,67296,7.08094737730052,0.0004028322045625806,0.00028725673603824517,0.000497261368278544,1,False
breakout,break_down,16,66551,11.580515296015932,0.0008103154666577149,0.0015588868045662697,0.00044300676903861764,-1,False
breakout,break_up,32,67269,10.08717049152143,0.0006973808425486671,0.0002970714142264306,0.001009697715971499,1,False
breakout,break_down,32,66541,10.07033594383079,0.0006938503339327908,0.0015281762254570313,0.00035645544104077946,-1,False
breakout,break_up,96,67242,13.431026999837394,0.0007050986035744542,-0.00034491632799989094,0.0016483928329895535,1,False
breakout,break_down,96,66487,14.591015799843563,0.0010357601405234697,0.002810299984922483,0.0003579405153561314,-1,False
mr_vwap,z<-3,1,10560,8.094665449648527,0.0008810790106806012,0.0012560866163796281,0.0005908525701051854,1,False
mr_vwap,z>3,1,13132,0.8726997650970822,6.295894654681016e-05,-2.246459155532603e-05,0.00013277767078854889,-1,False
mr_vwap,z<-3,4,10560,10.389215767012324,0.0015644297457940476,0.0023323973572218454,0.0009702472003011488,1,False
mr_vwap,z>3,4,13132,1.5720696635342537,0.00020527251190092144,-2.1967113899396277e-05,0.00039191747974955983,-1,False
mr_vwap,z<-3,16,10560,7.963721683998212,0.0017065392654067627,0.0029091470406525815,0.0007765914259263435,1,True
mr_vwap,z>3,16,13131,8.194321973862223,0.001792202260977447,0.001332365704028149,0.002159692873678282,-1,False
mr_vwap,z<-3,32,10560,4.558347629330363,0.0009665552430555793,0.002771429245302758,-0.0004358817301261628,1,False
mr_vwap,z>3,32,13125,6.773047215777496,0.0016554446853943804,0.0016040407133998374,0.0016164976560891255,-1,False
squeeze,r<.4,16,19519,112.12022427790563,-0.005584244308197629,-0.004459295371217741,-0.005761524910423468,1,False
squeeze,.4-.6,16,142150,311.29400092196744,-0.0034560557397759935,-0.003116568550245065,-0.0034243608335547803,1,False
squeeze,r<.4,32,19519,116.46248410847038,-0.007223278063704106,-0.006382137250821717,-0.006293116813324881,1,False
squeeze,.4-.6,32,142150,319.5099250330248,-0.004353631693683406,-0.0041788787011968545,-0.004061573596960345,1,False
squeeze,r<.4,96,19519,136.29042081160853,-0.011245526436817154,-0.011648916875725213,-0.007042793490859688,1,False
squeeze,.4-.6,96,142088,343.0164908024715,-0.0056514445483572436,-0.0064990935179609285,-0.004317598915798422,1,False
funding_window,f<-.1%,16,3116,-2.2476249619433233,-0.0012865504202013531,-0.0007766023608065422,-0.0017650325322359239,1,False
funding_window,f>+.1%,16,2871,0.990345489622166,0.0008668732560719783,0.0009004776289753449,-0.01128327545842671,-1,False
funding_window,f<-.1%,32,3116,-5.998429286919996,-0.004449845035271346,-0.002057368716075073,-0.006580110728262752,1,False
funding_window,f>+.1%,32,2871,-1.3730123085080428,-0.0025992381486996657,-0.002139951350767126,-0.03931277333570187,-1,False
funding_window,f<-.1%,96,3116,-14.171498091113904,-0.016431449844474758,-0.007785327626929262,-0.024042254345145807,1,False
funding_window,f>+.1%,96,2871,11.961708123552793,0.03155796767976077,0.03390912153377313,-0.10021151300906292,-1,False
vol_impulse,i>1.5,1,60,-1.6325343734257847,-0.001328873345162423,0.00016201175089401663,-0.0020171603589152426,1,False
vol_impulse,i<-1.5,1,131,3.0001824594021884,0.003969645280883788,0.005520279124972864,0.0026169756183475087,-1,False
vol_impulse,i>1.5,4,60,0.5154134995300239,0.0006824995923441902,0.0025886795841860103,-0.00018323240029615898,1,False
vol_impulse,i<-1.5,4,131,3.6774861427398355,0.005017869450623986,0.007093406568453899,0.0032000212895632162,-1,False
vol_impulse,i>1.5,16,60,0.03705946337723362,-0.00022791285851146177,0.0009277586486409334,-0.0006930523491980077,1,False
vol_impulse,i<-1.5,16,131,1.4951802030626864,0.00338223875649164,0.009556444563446573,-0.0020347485120985236,-1,False
vol_impulse,i>1.5,32,60,0.8722830366273575,0.002390132102761246,0.007976872198220814,-6.27860426564682e-05,1,False
vol_impulse,i<-1.5,32,131,1.5826090562941502,0.00427450860682933,0.010752624144353053,-0.0014475296206825073,-1,False
time_of_day,h00,4,67228,-2.875944825935996,-0.00022135026094201237,-4.43504457699981e-05,-0.00034986138011335966,-1,False
