bucket,horizon_hours,count,mean,median,std,t_stat
z-1..1,1,800796,1.0577075654844428e-05,0.0,0.004765362455879326,1.9862349496787457
z-2..-1,1,314952,-1.1090167827876998e-05,0.00013338669038176487,0.005372625374570873,-1.1584405329891734
z-3..-2,1,77698,8.631207161947977e-05,0.00042998423783724427,0.007162767236314676,3.3588887671627607
z1..2,1,312697,1.1446478096540734e-05,-0.00011084016847706657,0.005133696068912962,1.2468194984956016
z2..3,1,83908,8.280514524210363e-05,-0.00028096464589827397,0.006417957770244116,3.7373360744285615
z<-3,1,10560,0.0008916560863354456,0.0011886619977115043,0.011319583130797263,8.094665449648527
z>3,1,13132,7.353602220165459e-05,-0.0005065857429732423,0.009656076810463664,0.8726997650970822
z-1..1,4,800737,2.9168079498316315e-05,0.0,0.009757327020290961,2.674988519916029
z-2..-1,4,314948,-2.581705236729959e-06,0.00034108350971462364,0.010629946554771287,-0.13629973206338042
z-3..-2,4,77697,0.00033209030213446567,0.0008745080891998658,0.012546192952860214,7.378130899828369
z1..2,4,312693,0.00011969140004545972,-0.00030045529388833536,0.010418841082228179,6.423956815386953
z2..3,4,83907,0.00025975095287169675,-0.0005664117813650726,0.012201406779133802,6.166607972320413
z<-3,4,10560,0.001593597825292364,0.0018838984149909255,0.01576260242297158,10.389215767012324
z>3,4,13132,0.00023444059139923775,-0.0010791506122761474,0.01708938595296732,1.5720696635342537
z-1..1,16,800560,0.00022880699155239568,-1.8714176671541516e-05,0.020155075663073705,10.157382365876316
z-2..-1,16,314925,0.00019986862568035498,0.0005494505494505475,0.020592119854178893,5.446871602544327
z-3..-2,16,77691,0.000479536927336728,0.0013113601643930384,0.02235353471185802,5.979449537279933
z1..2,16,312634,0.0004305867159560925,-0.0006665405204152597,0.02102561260231117,11.45064821695316
z2..3,16,83897,0.00046569581446513414,-0.0009772854287913857,0.022655296400902233,5.95395848263539
z<-3,16,10560,0.0019353462569591585,0.002403525213104718,0.024973221091682717,7.963721683998212
z>3,16,13131,0.002021009252529843,-0.0009990009990010762,0.0282620836885519,8.194321973862223
z-1..1,32,800337,0.000489145635311544,-0.00013547565502469716,0.029010538266660803,15.084080563428099
z-2..-1,32,314870,0.0005385257543389168,0.0005555239512387011,0.02852307403426456,10.594385963128147
z-3..-2,32,77690,0.0003369958668960338,0.0009876986641080832,0.030511664309620344,3.078514741772578
z1..2,32,312572,0.001000528830864085,-0.0008388663282597464,0.029381397575649608,19.038476555710727
z2..3,32,83876,0.0006813784243547664,-0.0011822693899574133,0.03091055049872177,6.384111941451416
z<-3,32,10560,0.0014557008783671233,0.002166389315895967,0.03281683253339717,4.558347629330363
z>3,32,13125,0.0021445903207059245,-0.0011153946925178682,0.0362752065880009,6.773047215777496
