bucket,horizon_hours,count,mean,median,std,t_stat
+.01..+.03%,16,107031,0.0007071467985575736,0.00023199992861533403,0.025766129599421043,8.97873562644147
+.03..+.1%,16,81318,0.0008909080779358005,0.0002198234501050722,0.027814214233273737,9.13396715734774
-.01..+.01%,16,1269007,0.0002176947784286413,-3.304365066258974e-05,0.019272725031534543,12.724387779314458
-.03..-.01%,16,94438,0.0007568174778712251,0.00015993602661257267,0.02024340304296636,11.48896804902305
-.1..-.03%,16,30819,0.0008914747036904266,-0.0001519025798121243,0.024168449897851583,6.475443209049289
f<-.1%,16,3116,-0.0010688556417727119,-0.0012728603565369534,0.026545684702835144,-2.2476249619433233
f>+.1%,16,2871,0.0010845680345006195,-0.002438863621382792,0.05867953566333113,0.990345489622166
+.01..+.03%,32,107031,0.0013712435634691805,0.0001459684509097503,0.036037825914949535,12.448321910737661
+.03..+.1%,32,81318,0.0024912140570566878,-0.00017462674733470518,0.03885326082128666,18.28424014370362
-.01..+.01%,32,1268686,0.00040856210318407853,-0.0001679780151587762,0.02723040165130112,16.89978217539909
-.03..-.01%,32,94422,0.0013471423832430705,0.000462551196790284,0.028150117896683417,14.7051642407814
-.1..-.03%,32,30804,0.002059171729145979,0.00025561648231975376,0.03381438976562989,10.68795385628514
f<-.1%,32,3116,-0.004041282932087267,-0.0025272927993345573,0.03760801727487343,-5.998429286919996
f>+.1%,32,2871,-0.0021906760455155873,-0.009641057858428836,0.0854909858224087,-1.3730123085080428
+.01..+.03%,96,107031,0.0036058387531220197,-0.00033057851239670644,0.06368297846280867,18.52412599437564
+.03..+.1%,96,81318,0.007357397062381027,0.0,0.07119153564874729,29.470613573114232
-.01..+.01%,96,1267309,0.0013442055129882387,-0.00035605790865222975,0.04727368947620183,32.01012968504529
-.03..-.01%,96,94391,0.00315201308626456,0.0006671707512342362,0.04798931556186279,20.17942325231223
-.1..-.03%,96,30804,0.0025233899794609668,-0.0006618045574923737,0.05169726055024925,8.566834976469133
f<-.1%,96,3116,-0.01508724433148652,-0.011616941962686644,0.059428242314378335,-14.171498091113904
f>+.1%,96,2871,0.032902173192749004,-0.010607037912993555,0.1473831991803386,11.961708123552793
