variant,month,net_return
maker_limit,2023-01,0.0
maker_limit,2023-02,0.0
maker_limit,2023-03,-0.038512102187028545
maker_limit,2023-04,0.009678233400553373
maker_limit,2023-05,-0.008679222247096907
maker_limit,2023-06,-0.009106232018138788
maker_limit,2023-07,0.020887867790812458
maker_limit,2023-08,0.02209017060736581
maker_limit,2023-09,0.019131600057682035
maker_limit,2023-10,0.023175280236101905
maker_limit,2023-11,0.08995057313987317
maker_limit,2023-12,0.06044197667461888
maker_limit,2024-01,-0.0028905726196885445
maker_limit,2024-02,0.11978820241376377
maker_limit,2024-03,0.022730093467860885
maker_limit,2024-04,-0.16713688341342411
maker_limit,2024-05,0.0500806422375603
maker_limit,2024-06,-0.01145890152663253
maker_limit,2024-07,-0.0037026258708303325
maker_limit,2024-08,-0.004004836651914853
maker_limit,2024-09,0.04214692962271306
maker_limit,2024-10,-0.017784522157480664
maker_limit,2024-11,0.1591917647950985
maker_limit,2024-12,0.08898502424782656
maker_limit,2025-01,0.0434121907321785
maker_limit,2025-02,-0.021303953387584784
maker_limit,2025-03,-0.12826196762681458
maker_limit,2025-04,-0.008157874521856873
maker_limit,2025-05,0.0067470709849525405
maker_limit,2025-06,-0.044175314650429565
