fill,horizon_bars,exit,max_k,total_return,profit_factor,max_drawdown,n_trades,turnover,total_trade_cost,total_funding,n_bars,sharpe,episodes
next_bar,8,horizon,3,-0.6087195504567098,0.9235714592404375,0.6168576320389813,4060,1353.3333333333333,1.0826666666666667,0.01003455,87552,-1.2402604607322187,2030
next_bar,8,horizon,5,-0.44392867348235354,0.9384807827601673,0.4559358689701114,5170,1034.0,0.8272,0.008042790000000001,87552,-0.9170751311258192,2585
next_bar,8,horizon,10,-0.24087271735260762,0.9552814913496663,0.2631316416379368,6440,644.0,0.5152000000000001,0.004647547,87552,-0.5939061688484649,3220
next_bar,8,z_recover,3,-0.616430948991911,0.9170252540854015,0.6236563432255294,4074,1358.0,1.0864,0.008631463333333334,87552,-1.299099916360549,2037
next_bar,8,z_recover,5,-0.4355148914429744,0.9361947394100821,0.44668469708127456,5178,1035.6,0.8284800000000001,0.007085028000000001,87552,-0.9146782753462093,2589
next_bar,8,z_recover,10,-0.23480640400003105,0.9537725864765606,0.25549253509525427,6446,644.6,0.5156800000000001,0.004182976,87552,-0.5886129682757406,3223
next_bar,16,horizon,3,-0.6419143761419001,0.9477473506346195,0.662234163257909,3574,1191.3333333333333,0.9530666666666667,0.009987676666666669,87552,-1.0569073136216491,1787
next_bar,16,horizon,5,-0.5048475458726948,0.955067953744904,0.5201430167423247,4694,938.8,0.75104,0.008673170000000001,87552,-0.8472394269019117,2347
next_bar,16,horizon,10,-0.2608809368486408,0.9710967474177843,0.2869354261412249,6046,604.6,0.4836800000000001,0.00520619,87552,-0.4980243983418893,3023
next_bar,16,z_recover,3,-0.5753762305457237,0.9490728601565267,0.6324078028134053,3632,1210.6666666666665,0.9685333333333334,0.008877280000000001,87552,-0.9265798872823933,1816
next_bar,16,z_recover,5,-0.44970063715717223,0.9550924884015668,0.4763904334287179,4750,950.0,0.76,0.0077866459999999995,87552,-0.7598559162014302,2375
next_bar,16,z_recover,10,-0.2361036778683877,0.9693794833090535,0.29339335501185937,6106,610.6,0.48848,0.0047948040000000015,87552,-0.47308943444460116,3053
next_bar,32,horizon,3,-0.5508312387762977,0.9775598082295518,0.5827249622561035,3100,1033.3333333333333,0.8266666666666668,0.014698743333333333,87552,-0.6158759244436754,1550
next_bar,32,horizon,5,-0.4246008780645485,0.9813671444137654,0.4748760771949826,4224,844.8000000000001,0.67584,0.014057578000000001,87552,-0.4804362294145691,2112
next_bar,32,horizon,10,-0.1449088747869013,0.9946477331965029,0.3100394278643719,5736,573.6,0.45888000000000007,0.008596822,87552,-0.12783783655934533,2868
next_bar,32,z_recover,3,-0.5380680042234492,0.965700442990547,0.5749929511343181,3330,1110.0,0.8880000000000001,0.010126646666666666,87552,-0.7413404473594466,1665
next_bar,32,z_recover,5,-0.39931407162228616,0.9728109629723947,0.42797817779474145,4470,894.0,0.7152000000000001,0.00863389,87552,-0.5356828979326256,2235
next_bar,32,z_recover,10,-0.2269864340797738,0.9795738353272522,0.33266017823478033,5934,593.4000000000001,0.47472000000000003,0.00481825,87552,-0.3757140050641157,2967
maker_limit,8,horizon,3,-0.25586202080134557,0.9837655082109984,0.4065995441953627,4026,1342.0,0.671,0.009526813333333333,87552,-0.24915629551841506,2013
maker_limit,8,horizon,5,-0.17043429545296473,0.9885945255237207,0.3264905803870165,5124,1024.8000000000002,0.5124,0.00776108,87552,-0.15527150942513385,2562
maker_limit,8,horizon,10,0.09257552480210673,1.0243816743212943,0.2020921276495753,6362,636.2,0.31810000000000005,0.004606517,87552,0.27909346343658203,3181
maker_limit,8,z_recover,3,-0.2252634640715806,0.9865812546624027,0.4143432904488338,4034,1344.6666666666665,0.6723333333333334,0.008558466666666667,87552,-0.1999697473944223,2017
maker_limit,8,z_recover,5,-0.14637519344720373,0.9912549277316676,0.3169918345088284,5128,1025.6000000000001,0.5128,0.006988904000000001,87552,-0.1154400162663539,2564
maker_limit,8,z_recover,10,0.12103308729210283,1.0300504871225369,0.20254166340274538,6370,637.0,0.3185,0.00414613,87552,0.3324649421713629,3185
maker_limit,16,horizon,3,-0.19489861198146818,0.9964281239145233,0.48787050547251776,3550,1183.3333333333333,0.5916666666666668,0.010104793333333332,87552,-0.06977532234407119,1775
maker_limit,16,horizon,5,-0.12059522726103022,0.9992370214885956,0.3908336830284804,4660,932.0,0.466,0.008602562,87552,-0.013591254311962469,2330
maker_limit,16,horizon,10,0.0788215719949572,1.015843849013121,0.26789838337854555,5984,598.4000000000001,0.2992,0.005215289,87552,0.24867507424966065,2992
maker_limit,16,z_recover,3,-0.06821348787356751,1.0048169838419836,0.5058801911036674,3596,1198.6666666666665,0.5993333333333333,0.009723136666666668,87552,0.08579183262391826,1798
maker_limit,16,z_recover,5,-0.04961736361886715,1.0048654133628412,0.4213151434737886,4714,942.8,0.47140000000000004,0.008039764,87552,0.07879210304007532,2357
maker_limit,16,z_recover,10,0.1301742586555774,1.0236760815693469,0.29070748611288366,6044,604.4,0.3022,0.004924867000000001,87552,0.33609279786940915,3022
maker_limit,32,horizon,3,-0.1850254553530567,0.9999571518176879,0.4924597367750517,3080,1026.6666666666665,0.5133333333333334,0.014823286666666671,87552,-0.0011564676902300426,1540
maker_limit,32,horizon,5,-0.07233583506220975,1.0037178941264078,0.3544943778912989,4200,840.0,0.42000000000000004,0.014525278,87552,0.09294253480048278,2100
maker_limit,32,horizon,10,0.2507698779364258,1.020994442914647,0.26513372443124394,5688,568.8,0.2844000000000001,0.008674241,87552,0.46965033415376134,2844
maker_limit,32,z_recover,3,-0.1536100572165231,0.9996763673411119,0.4554465937515697,3294,1098.0,0.549,0.010781020000000002,87552,-0.006946053624419517,1647
maker_limit,32,z_recover,5,-0.08801800437385365,1.0024583034562486,0.37684204617748684,4430,886.0,0.44300000000000006,0.009107334,87552,0.047301224804192264,2215
maker_limit,32,z_recover,10,0.1036323544587312,1.0166144550041536,0.27448518532262,5870,587.0,0.29350000000000004,0.005064399,87552,0.28584281663254213,2935
